title,authors,fieldOfStudy,year,doiUrl
Viral dynamic model with cellular immune response: A case study of HIV-1 infected humanized mice,"Mausumi  Dhar, Shilpa  Samaddar, Paritosh  Bhattacharya, Ranjit Kumar Upadhyay",Biology,2019,https://doi.org/10.1016/J.PHYSA.2019.03.009
A Distributed Deadlock Resolution Algorithm for the AND Model,"José Ramón González de Mendívil, Federico  Fariña, José Ramón Garitagoitia, Carlos F. Alastruey, José M. Bernabéu-Aubán",Computer Science,1999,https://doi.org/10.1109/71.770131
Perceived environmental characteristics and psychosocial factors associated with physical activity levels in adolescents from Northeast Brazil: structural equation modelling analysis,"José Cazuza de Farias Júnior, Alex Antonio Florindo, Maria Paula Santos, Jorge  Mota, Mauro V G Barros",Psychology,2014,https://doi.org/10.1080/02640414.2013.873137
Immovable property tax in the Czech Republic as an instrument of fiscal decentralization,"Jana  Janoušková, Šárka  Sobotovičová",Economics,2016,https://doi.org/10.3846/20294913.2016.1236355
Focus on identity – the dark side of zìjĭ,Daniel  Hole,Philosophy,2008,https://doi.org/10.1515/TLIR.2008.008
Effect of neutralization of poly(acrylic acid) binder on the dispersion heterogeneity of Li-ion battery electrodes,"Sang Hoon Sung, Do Hoon Kim, Sunhyung  Kim, Min Hwan Jeong, Jaewook  Nam, Kyung Hyun Ahn",Materials Science,2019,https://doi.org/10.1007/s10853-019-03846-5
"Aggregation work at polydisperse micellization: ideal solution and ""dressed micelle"" models comparing to molecular dynamics simulations.","S V Burov, A K Shchekin",Chemistry,2010,https://doi.org/10.1063/1.3519815
"LATITUDINAL DIFFERENTIATION IN EMBRYONIC DURATION, EGG SIZE, AND NEWBORN SURVIVAL IN A HARPACTICOID COPEPOD","Darcy J. Lonsdale, Jeffrey S. Levinton",Biology,1985,https://doi.org/10.2307/1541522
Relationship Between Competitive Strategies of Small and Medium-Sized Polish International New Ventures and Their Market Performance: Cluster Analysis Approach,"Tomasz  Sikora, Ewa  Baranowska-Prokop",Business,2019,https://doi.org/10.1007/978-3-030-38253-7_22
[Polymorphisms of FAS and FASL genes and susceptibility of silicosis].,"Fen  Wu, Ya-bin  Qu, Pin  Sun, Fang  Ji, Yu-lan  Qiu, Wen-bin  Miao, Wei  Wang, Ru-feng  Jin, Zhao-lin  Xia",Biology,2008,https://doi.org/10.3760/CMA.J.ISSN.1001-9391.2008.01.003
Equation of State Measurements by Radiography Provide Evidence for a Liquid-Liquid Phase Transition in Cerium,"Magnus  Lipp, Zs  Jenei, D  Ruddle, C  Aracne-Ruddle, Hyunchae  Cynn, William J. Evans, Yoshio  Kono, Curtis  Kenney-Benson, C  Park",Physics,2013,https://doi.org/10.1088/1742-6596%2F500%2F3%2F032011
P01-198 - Antiepileptics as mood stabilizers,G.  Danevski,Psychology,2011,https://doi.org/10.1016/S0924-9338%2811%2971909-5
Do statisticians count? A personal view,Andrew P. Grieve,Mathematics,2002,https://doi.org/10.1002/PST.5
Treatment with Octreotide Does Not Reduce Tumor Uptake of 68Ga-DOTATATE as Measured by PET/CT in Patients with Neuroendocrine Tumors,"Alexander R Haug, Axel  Rominger, Mona  Mustafa, Christoph  Auernhammer, Burkhard  Göke, Gerwin P Schmidt, Björn  Wängler, Paul  Cumming, Peter  Bartenstein, Marcus  Hacker",Medicine,2011,https://doi.org/10.2967/jnumed.111.089276
Microstructural Characterization of Thermal Barrier Coatings Glazed by a High Power Laser,"Hong  Zhou, Fei  Li, Jun  Wang, Baode  Sun",Materials Science,2016,https://doi.org/10.4028/www.scientific.net%2FKEM.723.247
Modular Control of Crouch Gait in Spastic Cerebral Palsy,"Diego  Torricelli, M.  Pajaro, S.  Lerma, E.  Marquez, I.  Martinez, Filipe O. Barroso, Filipe O. Barroso, Jose L Pons",Medicine,2014,https://doi.org/10.1007/978-3-319-00846-2_424
Anomalous diffusion of proteins due to molecular crowding.,"Daniel S Banks, Cécile  Fradin",Chemistry,2005,https://doi.org/10.1529/BIOPHYSJ.104.051078
A genetic approach to the selection of the variable structure controller feedback gains,"H.N.  Al-Duwaish, Z.M.  Al-Hamouz",Computer Science,1998,https://doi.org/10.1109/CCA.1998.728371
"Sequential perceptual learning of letter identification and “uncrowding” in normal peripheral vision: Effects of task, training order, and cholinergic enhancement","Dennis M Levi, Roger W Li, Michael A Silver, Susana T L Chung",Psychology,2020,https://doi.org/10.1167/jov.20.4.24
Circadian rhythm of serotonin N -acetyltransferase activity in rat lens.,"M  Abe, M T Itoh, M  Miyata, K  Shimizu, Y  Sumi",Biology,2000,https://doi.org/10.1006/EXER.2000.0845
Sex steroids and cardiovascular disease,Bu Beng Yeap,Medicine,2014,https://doi.org/10.4103/1008-682X.122357
L‐tyrosine is the precursor of PQQ biosynthesis in Hyphomicrobium X,"M A van Kleef, J A Duine",Medicine,1988,https://doi.org/10.1016/0014-5793%2888%2980178-9
Fast and exact direct illumination,"Frédéric  Mora, Lilian  Aveneau",Computer Science,2005,https://doi.org/10.1109/CGI.2005.1500414
Wind Stress and SST Variability in the North Atlantic Area: Observations and Five Coupled GCMs in Concert,Jacob  Verbeek,Mathematics,1997,https://doi.org/10.1175/1520-0493%281997%29125%3C0942%3AWSASVI%3E2.0.CO%3B2
Phage sensitivity and host range of Rhizobium strains isolated from root nodules of temperate legumes,"Natalie I. Novikova, Elena A. Pavlova, Elena V. Limeshchenko",Biology,2004,https://doi.org/10.1007/BF00010785
Stretch and Breakage of Wormlike Micelles under Uniaxial Strain: A Simulation Study and Comparison with Experimental Results.,"Taraknath  Mandal, Ronald G Larson",Materials Science,2018,https://doi.org/10.1021/acs.langmuir.8b02421
Options and issues for pregnant adolescents.,A M Rhodes,Medicine,1988,https://doi.org/10.1097/00005721-198811000-00012
Cell cycle: A complex twist for BRCA2,Alison  Schuldt,Medicine,2001,https://doi.org/10.1038/35056553
Improving metabolite knowledge in stable atherosclerosis patients by association and correlation of GC-MS and 1H NMR fingerprints.,"Joanna  Teul, Francisco J Rupérez, Antonia  Garcia, Julie  Vaysse, Stéphane  Balayssac, Véronique  Gilard, Myriam  Malet-Martino, Jose Luis Martin-Ventura, Luis Miguel Blanco-Colio, José  Tuñón, Jesús  Egido, Coral  Barbas",Biology,2009,https://doi.org/10.1021/pr900668v
A Collaborative Augmented Reality Networked Platform for Edutainment,"Yuan Xun Gu, Nai  Li, Leanne  Chang, Henry Been-Lirn Duh",Engineering,2011,https://doi.org/10.1007/978-1-4419-9845-3_9
A syndrome of misinterpreting role changes as changes of person.,W A MacCallum,Psychology,1984,https://doi.org/10.1192/BJP.144.6.649
"Immunohistochemical expression of p53, MDM2, Ki-67 and PCNA in central giant cell granuloma and giant cell tumor.","P E de Souza, J F Paim, J N Carvalhais, R S Gomez",Medicine,1999,https://doi.org/10.1111/J.1600-0714.1999.TB01996.X
Automated measurement of ciliary beat frequency.,"S J Hennessy, L B Wong, D B Yeates, I F Miller",Biology,1986,https://doi.org/10.1152/JAPPL.1986.60.6.2109
HCC: Where Does HCV Therapy Play a Role?,"Stacey  Prenner, Laura  Kulik",Medicine,2016,https://doi.org/10.1007/s11901-016-0292-z
'Over what crinoline should these charming jupons be worn?': Thomson's Survival Strategy During the Decline of Crinoline,Lucy-Clare  Windle,Art,2007,https://doi.org/10.1179/17496300782345
"""Productivity on the cheap""? The ""more looms"" experiment and the Lancashire weaving industry during the inter-war years.","S  Bowden, D M Higgins",Medicine,1999,https://doi.org/10.1080/00076799900000343
Solid beryllium tiles for the JET pumped divertor,"Edward  Deksnis, Hans D.  Falter, D.  Martin, P.  Massmann, M.  Pick",Materials Science,1993,https://doi.org/10.1117/12.140494
The infinite Fibonacci groups and relative asphericity,"M.  Edjvet, A.  Juhasz",Mathematics,2017,https://doi.org/10.1112/tlm3.12007
A low-power sense amplifier for adiabatic memory using memristor,"Yuki  Urata, Yasuhiro  Takahashi, Toshikazu  Sekine, Nazrul  Anuar",Computer Science,2012,https://doi.org/10.1109/APCCAS.2012.6418984
Extensive host-switching of avian feather lice following the Cretaceous-Paleogene mass extinction event,"Robert S. de Moya, Julie M. Allen, Andrew D. Sweet, Kimberly K. O. Walden, Ricardo L. Palma, Vincent S. Smith, Stephen L. Cameron, Michel P. Valim, Terry D. Galloway, Jason D. Weckstein, Kevin P. Johnson",Biology,2019,https://doi.org/10.1038/s42003-019-0689-7
"Purification of capsular polysaccharide produced by Haemophilus influenzae type b through a simple, efficient and suitable method for scale-up","Mickie  Takagi, Rodrigo Barbosa Lima, Silvia Maria Ferreira Albani, Teresa Cristina Zangirolami, Martha Massako Tanizaki, Joaquin  Cabrera-Crespo",Chemistry,2008,https://doi.org/10.1007/s10295-008-0428-4
Fast Convergence Strategy for Multi-Image Superresolution via Adaptive Line Search,"Yingqian  Wang, Jungang  Yang, Chao  Xiao, Wei  An",Computer Science,2018,https://doi.org/10.1109/ACCESS.2018.2799161
"Studies of vacuum pyrolysis of 3-sila- and 3-germa-3,3′-spirobi(6-oxabicyclo[3.1.0]hexanes) and low-temperature matrix stabilization of monomeric silicon dioxide from the gas phase","S. E. Boganov, V. I. Faustov, Valery N. Khabashesku, Z. A. Kerzina, Nikolai D. Kagramanov, A. A. Kutin, Oleg M. Nefedov, P.  Mazerolles, G.  Manuel",Chemistry,1993,https://doi.org/10.1007/BF00703999
Temperature‐dependent chemical and electronic structure of reconstructed GaAs (100) surfaces,"I. M. Vitomirov, A.  Raisanen, Adam C. Finnefrock, R. E. Viturro, Leonard J. Brillson, Peter D. Kirchner, George David Pettit, Jerry M. Woodall",Chemistry,1992,https://doi.org/10.1116/1.586219
Blind Source Separation by Sparse Decomposition in a Signal Dictionary,"Michael  Zibulevsky, Barak A. Pearlmutter",Computer Science,2001,https://doi.org/10.1162/089976601300014385
Metastable eutectic equilibrium brought down to Earth,"Frans J. M. Rietmeijer, Joseph A. Nuth",Geology,2000,https://doi.org/10.1029/00EO00303
"Pathogenesis, classification and treatment of mastocytosis: state of the art in 2010 and future perspectives","Michel  Arock, Peter  Valent",Medicine,2010,https://doi.org/10.1586/ehm.10.42
Numerical investigation of the effects of drill geometry on drilling induced delamination of carbon fiber reinforced composites,"Ozden  Isbilir, Elaheh  Ghassemieh",Materials Science,2013,https://doi.org/10.1016/J.COMPSTRUCT.2013.04.026
Experimental modeling and aggregation strategy for thermoelectric refrigeration units as flexible loads,"Cesar  Diaz-Londono, Cesar  Diaz-Londono, Diana  Enescu, Fredy  Ruiz, Fredy  Ruiz, Andrea  Mazza",Computer Science,2020,https://doi.org/10.1016/j.apenergy.2020.115065
Re-texturing by Intrinsic Video,"Xing  Yan, Jianbing  Shen, Ying  He, Xiaoyang  Mao",Computer Science,2010,https://doi.org/10.1109/DICTA.2010.88
Obstacle Avoidance Using Stereo Vision: ASurvey,"Pritesh S. Sharma, Nehal G. Chitaliya",Computer Science,2015,https://doi.org/10.15680/IJIRCCE.2015.0301005
Transit through the distal quarter of the oesophagus in young children,"M  Cronin, M D Mann, S  Wynchank",Medicine,1995,https://doi.org/10.1007/BF03168401
The anti-proliferative effects of tyrosine kinase inhibitors towards tamoxifen-sensitive and tamoxifen-resistant human breast cancer cell lines in relation to the expression of epidermal growth factor receptors (EGF-R) and the inhibition of EGF-R tyrosine kinase.,"A A El-Zarruk, H W van den Berg",Biology,1999,https://doi.org/10.1016/S0304-3835%2899%2900167-6
International Union of Pharmacology. LXIII. Retinoid X Receptors,"Pierre  Germain, Pierre  Chambon, Gregor  Eichele, Ronald M Evans, Mitchell A Lazar, Mark  Leid, Angel R De Lera, Reuben  Lotan, David J Mangelsdorf, Hinrich  Gronemeyer",Biology,2006,https://doi.org/10.1124/pr.58.4.7
An overview of solution-based semiconductor nanowires: synthesis and optical studies.,Masaru  Kuno,Chemistry,2008,https://doi.org/10.1039/B708296G
"Carbon decorative coatings by dip-, spin-, and spray-assisted layer-by-layer assembly deposition.","Jinkee  Hong, Sang Wook Kang",Materials Science,2011,https://doi.org/10.1166/JNN.2011.4737
Intranasal delivery of a formulation containing stage-specific recombinant proteins of Fasciola hepatica cathepsin L5 and cathepsin B2 triggers an anti-fecundity effect and an adjuvant-mediated reduction in fluke burden in sheep.,"Luke J Norbury, Katarzyna  Basałaj, Anna  Zawistowska-Deniziak, Alicja  Sielicka, Przemysław  Wilkowski, Agnieszka  Wesołowska, Peter M Smooker, Halina  Wędrychowicz",Biology,2018,https://doi.org/10.1016/j.vetpar.2018.05.008
"The Molasse fault zone in Lake Geneva, South-West Switzerland, From high-resolution seismic reflection data","I.  Chaudhary, D.  Dupuy, M.  Scheidhauer, François  Marillier",Geology,2000,https://doi.org/10.3997/2214-4609.201406239
Log-likelihood ratio (LLR) conversion schemes in orthogonal code hopping multiplexing,"Jae Kyun Kwon, Suwon  Park, Dan Keun Sung",Computer Science,2003,https://doi.org/10.1109/LCOMM.2003.809994
Primary and secondary takotsubo syndrome: Pathophysiological determinant and prognosis,"Leonarda  Galiuto, Filippo  Crea",Medicine,2020,https://doi.org/10.1177/2048872620963493
Fabrication of lithium niobate-based low-loss bend optical waveguide,"Xin  Li, Ang  Liu, Yu  Qiu, Jie  Feng, Jun-Jiang  Chen, Xue-song  Lin, Shi-han  Yang, Zigang  Zhou",Materials Science,2014,https://doi.org/10.1117/12.2073602
Intravascular ultrasound‐guided wiring for chronic total occlusion,"Shinichi  Furuichi, Flavio  Airoldi, Antonio  Colombo",Medicine,2007,https://doi.org/10.1002/ccd.21219
Haem administration in myelodysplastic syndromes: A possible mechanism of action,"G  Chalevelakis, A G Yalouris",Medicine,1993,https://doi.org/10.1111/J.1600-0609.1993.TB00606.X
A Coupled Cluster Approach to the Electron Correlation Problem Using a Correlated Reference State,D.  Mukherjee,Physics,1995,https://doi.org/10.1007/978-1-4615-1937-9_12
Multidisciplinary Neonatal Emergencies Simulation Team-Training (NEST) Improves Participant’s Confidence in Dealing With Simulated Neonatal Emergencies,"Ravi  Swamy, Manigandan  Chandrasekaran, Praveen K. Venkatagiri, Anuj  Grover, Vikram  Datta, Ajay  Sinha, S  Mohinuddin",Medicine,2018,https://doi.org/10.1177/0973217918795230
Low risk of solid tumors in persons with Down syndrome,"Henrik  Hasle, Jan M Friedman, Jørgen H Olsen, Sonja A Rasmussen",Medicine,2016,https://doi.org/10.1038/gim.2016.23
Genetic Variability and Domestication in Swine,"Michael W. Smith, Michael H. Smith, I. Lehr Brisbin",Biology,1980,https://doi.org/10.2307/1379955
Neuroendocrine Tumour of the Lung: A Diagnostic Challenge,"Nur Hidayah Bahrom, Anis Safura Ramli, Nor Suraya Samsudin, Norliana Dalila Mohamad Ali, Nor Salmah Bakar",Medicine,2019,https://doi.org/10.24191/jchs.v4i2.7550
Effect of Helicobacter pylori infection on gastric mucosal pathologic change and level of nitric oxide and nitric oxide synthase.,"Yong-Fu  Wang, Chun-Lin  Guo, Li-Zhen  Zhao, Guo-An  Yang, Peng  Chen, Hong-Kun  Wang",Medicine,2005,https://doi.org/10.3748/WJG.V11.I32.5029
"The concept and measurement of service quality in the hotel sector: the case of Split, Croatia","Mario  Pepur, Smiljana  Pivcevic",Business,2009,https://doi.org/10.1504/IJLTM.2009.021990
Hanukkah in the Narrative Chronology of the Fourth Gospel,John C. Poirier,History,2008,https://doi.org/10.1017/S0028688508000246
"Comparative assessment of budesonide-MMX and mesalamine in active, mild-to-moderate ulcerative colitis: a systematic review and network meta-analysis.","Stefanos  Bonovas, Georgios K Nikolopoulos, Daniele  Piovani, Marien  González-Lorenzo, Katerina  Pantavou, Theodore  Lytras, Laurent  Peyrin-Biroulet, Silvio  Danese",Medicine,2019,https://doi.org/10.1111/bcp.14051
Proving a Class of Hypergeometric Identities by means of Generating Functions,"Susanna  Brogelli, Donatella  Merlini, Renzo  Sprugnoli",Mathematics,2000,https://doi.org/10.1007/978-3-662-04166-6_63
Coherent dissociation C-12 ---> 3 alpha in emulsion enriched by Pb,"V. V. Belaga, A. A. Bendzhaza, V. V. Rusakova, D. A. Salomov, G. M. Chernov",Physics,1994,https://doi.org/10.1063/7788-1905%2895%295811-5
"Optimization module for filtering and ranking alternative energy replacement systems, in an online ICT design tool for building retrofits","Peru  Elguezabal, Beñat  Arregi, Alberto  Armijo, Philipp  Schuetz, Damian  Gwerder, Rossano  Scoccia, Dimosthenis  Tsagkrasoulis, Marcello  Aprile",Computer Science,2019,https://doi.org/10.1088/1742-6596%2F1343%2F1%2F012128
"Metal contamination and fractionation in sediments from the lower basin of the Vale do Ribeira (SE, Brazil)","Estefanía  Bonnail, Lucas M Buruaem, Lucas G Morais, Denis M S Abessa, Aguasanta M Sarmiento, T Ángel DelValls",Environmental Science,2017,https://doi.org/10.1007/s10661-017-5971-x
EFFECT OF INTERNAL MICRO ENVIRONMENTAL FLUCTUATIONS ON TUMOR GROWTH DYNAMICS,"Ibrahim Mu’awiyya Idris, M. R. Abu Bakar",Physics,2015,https://doi.org/10.12732/ijpam.v103i3.8
"Multicommutation in flow analysis: concepts, applications and trends","Fábio R.P. Rocha, Boaventura Freire dos Reis, Elias A.G. Zagatto, José L. F. C. Lima, Rui A. S. Lapa, João L.M. Santos",Chemistry,2002,https://doi.org/10.1016/S0003-2670%2802%2900628-1
Deuteron two-dimensional exchange NMR in solids,"Claudia  Schmidt, Bernhard  Blümich, Hans-Wolfgang  Spiess",Chemistry,1988,https://doi.org/10.1016/0022-2364%2888%2990219-3
"Geology of the Kosciusko National Park, 1990","R.  Swoboda, I. C. O'Donnell",Geography,1994,https://doi.org/10.1080/00690805.1994.9713981
Ubiquitin-interacting motifs of Epsin are involved in the regulation of insulin-dependent endocytosis.,"Shinichiro  Sugiyama, Shosei  Kishida, Kazuaki  Chayama, Shinya  Koyama, Akira  Kikuchi",Biology,2005,https://doi.org/10.1093/JB%2FMVI044
Global and Detailed Placement,"Andrew B. Kahng, Jens  Lienig, Igor L. Markov, Jin  Hu",Computer Science,2011,https://doi.org/10.1007/978-90-481-9591-6_4
Enantioselective formal synthesis of antitumor agent (+)-ottelione A,"Mi Young Lee, Kyung Hwa Kim, Shuai  Jiang, Yoo Hyun Jung, Jae Yi Sim, Geum-Sook  Hwang, Do Hyun Ryu",Chemistry,2008,https://doi.org/10.1016/J.TETLET.2008.01.108
The Use of Daniel in Jewish Apocalyptic Literature and in the Revelation of St. John,G. K. Beale,Philosophy,1984,https://doi.org/10.2307/3261241
"mer-[Re(py)3FI2], ein gemischter Fluoro–Iodo–Pyridin-Komplex des dreiwertigen Rheniums","Jürgen  Holzbock, Wolfgang  Sawodny, Ulf  Thewalt",Chemistry,2000,https://doi.org/10.1002/%28SICI%291521-3749%28200002%29626%3A2%3C321%3A%3AAID-ZAAC321%3E3.0.CO%3B2-Y
Abstract P5-03-01: An optimized 92-gene assay for the molecular diagnosis of triple-negative breast cancer,"Peggy S. Sullivan, Hs  Soifer, J  Liu, Yi  Zhang, Catherine A. Schnabel, Elena F. Brachtel",Medicine,2017,https://doi.org/10.1158/1538-7445.SABCS16-P5-03-01
Calibrationless determination of mercury by flow-through stripping coulometry,"E.  Beinrohr, M.  Čakrt, J.  Dzurov, P.  Kottaš, E.  Kozáková",Chemistry,1996,https://doi.org/10.1007/S0021663560253
Effects of agendas on model-based intention inference of cooperative teams,"Martin  Giersich, Thomas  Kirste",Computer Science,2007,https://doi.org/10.1109/COLCOM.2007.4553875
Measuring the effectiveness of contact tracing,"M  FitzGerald, G  Bell",Medicine,1998,https://doi.org/10.1258/0956462981921206
IL‐10 regulates Aicda expression through miR‐155,"Kirsten A Fairfax, Michael P Gantier, Fabienne  Mackay, Bryan R G Williams, Claire E McCoy",Biology,2015,https://doi.org/10.1189/jlb.2A0314-178R
Portal hypertension caused by postoperative superior mesenteric arteriovenous fistula.,"Dusan Dj Popović, Milan  Spuran, Lazar  Davidović, Tamara  Alempijević, Milenko  Ugljesić, Igor  Banzić, Dragica  Jadranin, Nada  Kovacević, Mirjana  Perisić, Momcilo  Colić, Miodrag  Krstić",Medicine,2012,https://doi.org/10.2298/VSP1207623P
"Fatty acids as biocompounds: their role in human metabolism, health and disease: a review. part 2: fatty acid physiological roles and applications in human health and disease.","Lefkothea Stella Kremmyda, Eva  Tvrzicka, Barbora  Stankova, Ales  Zak",Biology,2011,https://doi.org/10.5507/bp.2011.052
"Sarcopenic Obesity: Definition, Health Consequences and Clinical Management","Marwan El Ghoch, Simona  Calugi, Riccardo Dalle Grave",Medicine,2018,https://doi.org/10.2174/1874288201812010070
"Microeconomic Approaches to Development: Schooling, Learning, and Growth",Mark R. Rosenzweig,Economics,2010,https://doi.org/10.2139/ssrn.1568988
Null Hypothesis Significance Testing Does Not Show Equivalence,Kimberly A. Barchard,Psychology,2015,https://doi.org/10.1111/ASAP.12095
Birth date and birth place effects in National Hockey League draftees 2000–2005: comments on Baker and Logan (2007),"David J Hancock, Diane M Ste-Marie, Bradley W Young",Medicine,2008,https://doi.org/10.1136/bjsm.2008.050344
A Decade of Experience with Deep Brain Stimulation for patients with Refractory Medial Temporal Lobe epilepsy,"Kristl  Vonck, Mathieu  Sprengers, Evelien  Carrette, Ine  Dauwe, Marijke  Miatton, Alfred  Meurs, Lut  Goossens, Veerle de Herdt, Rik  Achten, Evert  Thiery, Robrecht  Raedt, Dirk Van Roost, Paul  Boon",Medicine,2013,https://doi.org/10.1142/S0129065712500347
Topic Modeling of Social Networking Service Data on Occupational Accidents in Korea: Latent Dirichlet Allocation Analysis,"Kyoung-Bok  Min, Sung-Hee  Song, Jin-Young  Min",Business,2020,https://doi.org/10.2196/19222
Higher Auslander-Reiten sequences and $t$-structures,"Juan Camilo Arias Uribe, Erik  Backelin",Mathematics,2013,https://doi.org/10.1016/J.JALGEBRA.2016.03.040
Lung Cancer Screening: Use of Low-Dose Computed Tomography.,"Encarnación Martínez Pérez, Karol de Aguiar Quevedo, Miguel Arrarás Martínez, Julia Cruz Mojarrieta, Estanislao Arana Fernández de Moya, Maria Barrios Benito, Susana Hinarejos Parga, Jose Cervera Deval, Juan Carlos Peñalver Cuesta",Medicine,2019,https://doi.org/10.1016/j.arbr.2019.08.001
"Biocentrism, Ecocentrism, and African Modal Relationalism: Etieyibo, Metz, and Galgut on Animals and African Ethics",Kai  Horsthemke,Psychology,2017,https://doi.org/10.5406/JANIMALETHICS.7.2.0183
Index Funds and Corporate Governance: Let Shareholders be Shareholders,"Edward B. Rock, Marcel  Kahan",Business,2019,https://doi.org/10.2139/SSRN.3295098
Study on Green Supply Chain Management Based on Circular Economy,"Jiang  Ying, Zhou  Li-jun",Physics,2012,https://doi.org/10.1016/J.PHPRO.2012.03.295
Is There a Gender Difference in Cyber-Victimization?: A Meta-Analysis,"Shaojing  Sun, Xitao  Fan",Psychology,2018,https://doi.org/10.1027/1864-1105%2Fa000185
"Complications of Augmentation Mentoplasty: A Review of 11,095 Cases","Frank J. Scaccia, Allan L. Allphin, David W. Stepnick",Medicine,1993,https://doi.org/10.1177/074880689301000306
A parallel free surface flow solver,José Alberto Cuminato,Mathematics,1996,https://doi.org/10.1016/B978-044482322-9%2F50081-5
